Year,avg_global_temp,total_co2_emissions,sea_level_rise,average_extreme_events
2000,16.9,3.9,4.0,11.0
2001,21.975,12.600000000000001,3.175,4.5
2002,20.950000000000003,15.100000000000001,2.1,8.5
2003,10.0,16.5,1.3,13.0
2004,12.600000000000001,5.3,1.75,0.5
2005,14.283333333333333,9.549999999999999,2.9333333333333336,6.833333333333333
2006,22.75,12.075000000000001,3.675,9.25
2007,7.7,19.9,1.6,10.0
2008,20.759999999999998,8.8,3.2,8.2
2009,17.766666666666666,6.933333333333334,3.483333333333333,6.666666666666667
2010,15.2,7.7,2.2,7.0
2012,20.950000000000003,8.35,2.5,7.5
2013,27.32,9.120000000000001,3.5,8.0
2014,26.366666666666664,14.533333333333333,3.1,2.0
2015,20.7,12.8,4.3,3.0
2016,14.2,12.399999999999999,3.45,2.5
2018,28.96666666666667,14.333333333333334,4.466666666666666,5.333333333333333
2019,19.033333333333335,6.266666666666667,2.5333333333333337,8.333333333333334
2020,9.566666666666666,11.233333333333334,3.5,5.333333333333333
2021,15.933333333333332,9.866666666666667,3.0,2.0
2022,17.45,9.799999999999999,3.25,6.5
2023,20.633333333333333,12.283333333333333,3.5666666666666664,8.833333333333334
