Year,Avg_Temperature,Total_CO2_Emissions
2000,16.9,3.9
2001,21.975,50.400000000000006
2002,20.950000000000003,30.200000000000003
2003,10.0,16.5
2004,12.600000000000001,10.6
2005,14.283333333333333,57.3
2006,22.75,48.300000000000004
2007,7.7,19.9
2008,20.759999999999998,44.0
2009,17.766666666666666,41.6
2010,15.2,15.4
2012,20.950000000000003,16.7
2013,27.32,45.6
2014,26.366666666666664,43.6
2015,20.7,12.8
2016,14.2,24.799999999999997
2018,28.96666666666667,43.0
2019,19.033333333333335,18.8
2020,9.566666666666666,33.7
2021,15.933333333333332,29.6
2022,17.45,19.599999999999998
2023,20.633333333333333,73.7
