Year,Avg_Temperature,Total_CO2_Emissions
2000,23.585714285714285,97.6
2001,18.7,34.099999999999994
2002,19.3,40.2
2003,12.7,32.0
2004,14.2,59.0
2005,18.8,6.8999999999999995
2006,20.7,35.300000000000004
2007,19.942857142857143,91.0
2008,15.75,14.8
2009,17.55,28.2
2010,15.719999999999999,46.2
2011,13.766666666666667,31.1
2012,14.700000000000001,21.5
2014,12.725,43.3
2015,22.166666666666668,18.1
2016,19.95,31.9
2018,29.1,16.7
2019,12.966666666666667,34.4
2020,25.933333333333334,34.8
2021,22.166666666666668,72.2
2022,15.9,11.5
2023,28.15,25.8
