Year,avg_global_temp,total_co2_emissions,sea_level_rise,average_extreme_events
2000,23.585714285714285,97.6,3.242857142857143,6.571428571428571
2001,18.7,34.099999999999994,3.3666666666666667,11.0
2002,19.3,40.2,3.025,3.5
2003,12.7,32.0,2.0,6.0
2004,14.2,59.0,2.58,8.4
2005,18.8,6.8999999999999995,3.3,8.5
2006,20.7,35.300000000000004,3.025,9.5
2007,19.942857142857143,91.0,2.242857142857143,6.428571428571429
2008,15.75,14.8,1.6,8.5
2009,17.55,28.2,1.55,8.5
2010,15.719999999999999,46.2,3.46,10.0
2011,13.766666666666667,31.1,2.8666666666666667,4.666666666666667
2012,14.700000000000001,21.5,1.9500000000000002,8.5
2014,12.725,43.3,2.425,6.75
2015,22.166666666666668,18.1,2.6,11.0
2016,19.95,31.9,2.2,5.0
2018,29.1,16.7,1.9,10.0
2019,12.966666666666667,34.4,2.3000000000000003,10.333333333333334
2020,25.933333333333334,34.8,3.1666666666666665,3.0
2021,22.166666666666668,72.2,3.5,8.0
2022,15.9,11.5,3.3,3.0
2023,28.15,25.8,2.65,11.0
