dt,AverageTemperature,Country,dt_formatted,month_offset
1825-01-01,25.915,Indonesia,1825-01-01,1
1825-02-01,25.385,Indonesia,1825-02-01,2
1825-03-01,25.687,Indonesia,1825-03-01,3
1825-04-01,26.302,Indonesia,1825-04-01,4
1825-05-01,25.705,Indonesia,1825-05-01,5
1825-06-01,26.161,Indonesia,1825-06-01,6
1825-07-01,25.567,Indonesia,1825-07-01,7
1825-08-01,24.97,Indonesia,1825-08-01,8
1825-09-01,24.87,Indonesia,1825-09-01,9
1825-10-01,24.788,Indonesia,1825-10-01,10
1825-11-01,26.069000000000003,Indonesia,1825-11-01,11
1825-12-01,25.207,Indonesia,1825-12-01,12
1839-04-01,25.365,Indonesia,1839-04-01,172
1839-05-01,24.954,Indonesia,1839-05-01,173
1839-06-01,25.013,Indonesia,1839-06-01,174
1839-07-01,25.355,Indonesia,1839-07-01,175
1839-08-01,25.216,Indonesia,1839-08-01,176
1839-09-01,24.486,Indonesia,1839-09-01,177
1839-10-01,24.821,Indonesia,1839-10-01,178
1839-11-01,24.127,Indonesia,1839-11-01,179
1839-12-01,23.73,Indonesia,1839-12-01,180
1840-01-01,25.636,Indonesia,1840-01-01,181
1840-02-01,24.700000000000006,Indonesia,1840-02-01,182
1840-03-01,24.353,Indonesia,1840-03-01,183
1840-11-01,24.668000000000003,Indonesia,1840-11-01,191
1841-01-01,24.103,Indonesia,1841-01-01,193
1841-02-01,25.059,Indonesia,1841-02-01,194
1850-01-01,24.324,Indonesia,1850-01-01,301
1850-02-01,25.772,Indonesia,1850-02-01,302
1850-03-01,25.508000000000003,Indonesia,1850-03-01,303
1850-04-01,24.966,Indonesia,1850-04-01,304
1850-05-01,24.815,Indonesia,1850-05-01,305
1850-06-01,25.238000000000003,Indonesia,1850-06-01,306
1850-07-01,25.406,Indonesia,1850-07-01,307
1850-08-01,25.24,Indonesia,1850-08-01,308
1850-09-01,24.882,Indonesia,1850-09-01,309
1850-10-01,24.705,Indonesia,1850-10-01,310
1850-11-01,24.71,Indonesia,1850-11-01,311
1850-12-01,24.893,Indonesia,1850-12-01,312
1851-01-01,25.513,Indonesia,1851-01-01,313
1851-02-01,25.356,Indonesia,1851-02-01,314
1851-03-01,24.802,Indonesia,1851-03-01,315
1851-04-01,24.874,Indonesia,1851-04-01,316
1851-05-01,25.695,Indonesia,1851-05-01,317
1851-06-01,25.493,Indonesia,1851-06-01,318
1851-07-01,25.423,Indonesia,1851-07-01,319
1851-08-01,25.164,Indonesia,1851-08-01,320
1851-09-01,25.165,Indonesia,1851-09-01,321
1851-10-01,25.388,Indonesia,1851-10-01,322
1851-11-01,24.695,Indonesia,1851-11-01,323
1851-12-01,25.406,Indonesia,1851-12-01,324
1852-01-01,25.315,Indonesia,1852-01-01,325
1852-02-01,25.03700000000001,Indonesia,1852-02-01,326
1852-03-01,24.544,Indonesia,1852-03-01,327
1852-04-01,25.099,Indonesia,1852-04-01,328
1852-05-01,25.782,Indonesia,1852-05-01,329
1852-06-01,25.444000000000003,Indonesia,1852-06-01,330
1852-07-01,25.327,Indonesia,1852-07-01,331
1852-08-01,24.774,Indonesia,1852-08-01,332
1852-09-01,25.082,Indonesia,1852-09-01,333
1852-10-01,25.181,Indonesia,1852-10-01,334
1852-11-01,24.553,Indonesia,1852-11-01,335
1852-12-01,25.409,Indonesia,1852-12-01,336
1853-01-01,24.929,Indonesia,1853-01-01,337
1853-02-01,24.506,Indonesia,1853-02-01,338
1853-03-01,24.937,Indonesia,1853-03-01,339
1853-04-01,25.046,Indonesia,1853-04-01,340
1853-05-01,25.603,Indonesia,1853-05-01,341
1853-06-01,25.393,Indonesia,1853-06-01,342
1853-07-01,25.435,Indonesia,1853-07-01,343
1853-08-01,25.295,Indonesia,1853-08-01,344
1853-12-01,25.469,Indonesia,1853-12-01,348
1854-01-01,24.832,Indonesia,1854-01-01,349
1854-02-01,24.537,Indonesia,1854-02-01,350
1854-04-01,25.268,Indonesia,1854-04-01,352
1854-05-01,25.348000000000003,Indonesia,1854-05-01,353
1854-06-01,25.163,Indonesia,1854-06-01,354
1854-07-01,25.637,Indonesia,1854-07-01,355
1854-08-01,25.221,Indonesia,1854-08-01,356
1854-09-01,25.027,Indonesia,1854-09-01,357
1854-10-01,25.771,Indonesia,1854-10-01,358
1854-11-01,25.299,Indonesia,1854-11-01,359
1854-12-01,25.267000000000003,Indonesia,1854-12-01,360
1855-01-01,25.872,Indonesia,1855-01-01,361
1855-02-01,25.339,Indonesia,1855-02-01,362
1855-03-01,25.355,Indonesia,1855-03-01,363
1855-04-01,26.177,Indonesia,1855-04-01,364
1855-05-01,26.117,Indonesia,1855-05-01,365
1855-06-01,25.467,Indonesia,1855-06-01,366
1855-07-01,25.086,Indonesia,1855-07-01,367
1855-08-01,25.184,Indonesia,1855-08-01,368
1855-09-01,25.056,Indonesia,1855-09-01,369
1855-10-01,24.527,Indonesia,1855-10-01,370
1855-11-01,24.972,Indonesia,1855-11-01,371
1855-12-01,24.077,Indonesia,1855-12-01,372
1856-01-01,25.569000000000003,Indonesia,1856-01-01,373
1856-02-01,24.832,Indonesia,1856-02-01,374
1856-03-01,25.099,Indonesia,1856-03-01,375
1856-04-01,25.289,Indonesia,1856-04-01,376
1856-05-01,25.307,Indonesia,1856-05-01,377
1856-06-01,26.115,Indonesia,1856-06-01,378
1856-07-01,25.229,Indonesia,1856-07-01,379
1856-08-01,24.94,Indonesia,1856-08-01,380
1856-09-01,24.656,Indonesia,1856-09-01,381
1856-10-01,24.644,Indonesia,1856-10-01,382
1856-11-01,25.012,Indonesia,1856-11-01,383
1856-12-01,24.933000000000003,Indonesia,1856-12-01,384
1866-01-01,25.57,Indonesia,1866-01-01,493
1866-02-01,24.786,Indonesia,1866-02-01,494
1866-03-01,25.313,Indonesia,1866-03-01,495
1866-04-01,25.428,Indonesia,1866-04-01,496
1866-05-01,25.547,Indonesia,1866-05-01,497
1866-06-01,25.291,Indonesia,1866-06-01,498
1866-07-01,25.352,Indonesia,1866-07-01,499
1866-08-01,25.112,Indonesia,1866-08-01,500
1866-09-01,25.263,Indonesia,1866-09-01,501
1866-10-01,24.759,Indonesia,1866-10-01,502
1866-11-01,25.402,Indonesia,1866-11-01,503
1866-12-01,25.314,Indonesia,1866-12-01,504
1867-01-01,25.056,Indonesia,1867-01-01,505
1867-02-01,24.994,Indonesia,1867-02-01,506
1867-03-01,25.258000000000003,Indonesia,1867-03-01,507
1867-04-01,25.481,Indonesia,1867-04-01,508
1867-05-01,25.607,Indonesia,1867-05-01,509
1867-06-01,25.384,Indonesia,1867-06-01,510
1867-07-01,25.261,Indonesia,1867-07-01,511
1867-08-01,25.012,Indonesia,1867-08-01,512
1867-09-01,25.235,Indonesia,1867-09-01,513
1867-10-01,25.301,Indonesia,1867-10-01,514
1867-11-01,26.004,Indonesia,1867-11-01,515
1867-12-01,25.22,Indonesia,1867-12-01,516
1868-01-01,24.806,Indonesia,1868-01-01,517
1868-02-01,24.776,Indonesia,1868-02-01,518
1868-03-01,25.178,Indonesia,1868-03-01,519
1868-04-01,25.528,Indonesia,1868-04-01,520
1868-05-01,25.808000000000003,Indonesia,1868-05-01,521
1868-06-01,25.663,Indonesia,1868-06-01,522
1868-07-01,25.396,Indonesia,1868-07-01,523
1868-08-01,25.312,Indonesia,1868-08-01,524
1868-09-01,25.299,Indonesia,1868-09-01,525
1868-10-01,25.725,Indonesia,1868-10-01,526
1868-11-01,25.206,Indonesia,1868-11-01,527
1868-12-01,25.25500000000001,Indonesia,1868-12-01,528
1869-01-01,25.118,Indonesia,1869-01-01,529
1869-02-01,25.95,Indonesia,1869-02-01,530
1869-03-01,25.475,Indonesia,1869-03-01,531
1869-04-01,25.395,Indonesia,1869-04-01,532
1869-05-01,25.759,Indonesia,1869-05-01,533
1869-06-01,25.509,Indonesia,1869-06-01,534
1869-07-01,25.271,Indonesia,1869-07-01,535
1869-08-01,25.162,Indonesia,1869-08-01,536
1869-09-01,25.413,Indonesia,1869-09-01,537
1869-10-01,25.282,Indonesia,1869-10-01,538
1869-11-01,25.212,Indonesia,1869-11-01,539
1869-12-01,24.516,Indonesia,1869-12-01,540
1870-01-01,24.862,Indonesia,1870-01-01,541
1870-02-01,24.605,Indonesia,1870-02-01,542
1870-03-01,25.193,Indonesia,1870-03-01,543
1870-04-01,25.358,Indonesia,1870-04-01,544
1870-05-01,25.686,Indonesia,1870-05-01,545
1870-06-01,25.509,Indonesia,1870-06-01,546
1870-07-01,25.25,Indonesia,1870-07-01,547
1870-08-01,24.675,Indonesia,1870-08-01,548
1870-09-01,25.02,Indonesia,1870-09-01,549
1870-10-01,24.984,Indonesia,1870-10-01,550
1870-11-01,25.071,Indonesia,1870-11-01,551
1870-12-01,24.269,Indonesia,1870-12-01,552
1871-01-01,24.464,Indonesia,1871-01-01,553
1871-02-01,24.606,Indonesia,1871-02-01,554
1871-03-01,25.121,Indonesia,1871-03-01,555
1871-04-01,25.606,Indonesia,1871-04-01,556
1871-05-01,25.47,Indonesia,1871-05-01,557
1871-06-01,25.159,Indonesia,1871-06-01,558
1871-07-01,24.852,Indonesia,1871-07-01,559
1871-08-01,25.146,Indonesia,1871-08-01,560
1871-09-01,25.057,Indonesia,1871-09-01,561
1871-10-01,25.08,Indonesia,1871-10-01,562
1871-11-01,24.771,Indonesia,1871-11-01,563
1871-12-01,24.675,Indonesia,1871-12-01,564
1872-01-01,24.457,Indonesia,1872-01-01,565
1872-02-01,24.56900000000001,Indonesia,1872-02-01,566
