Year,avg_global_temp,total_co2_emissions,sea_level_rise,average_extreme_events
2000,16.9,4.4,1.2,11.0
2001,13.940000000000001,9.66,2.4,6.8
2002,11.7,4.6,2.2,3.0
2003,20.4,11.299999999999999,3.033333333333333,7.0
2004,34.2,9.7,2.6,7.0
2005,7.2,5.2,1.1,8.0
2006,20.55,3.4000000000000004,2.5999999999999996,5.5
2007,8.6,4.1,1.9,2.0
2008,25.1,4.6,2.4,5.0
2009,25.5,2.5,3.6,5.0
2010,24.366666666666664,10.133333333333335,2.1333333333333333,5.666666666666667
2011,17.4,10.78,2.7199999999999998,5.8
2012,17.5,14.5,3.8000000000000003,4.5
2013,19.9,4.6,1.65,12.0
2014,27.46666666666667,16.5,3.533333333333333,5.666666666666667
2015,13.45,12.149999999999999,2.75,5.0
2016,14.399999999999999,17.35,2.5,1.0
2017,23.175,6.3500000000000005,2.625,5.0
2018,21.85,9.25,2.65,5.5
2019,21.566666666666666,4.533333333333334,4.066666666666666,10.0
2020,20.2,15.4,2.2,12.0
2021,32.375,9.125,3.175,11.0
2022,28.2,12.85,2.5,4.0
2023,20.0,9.75,2.75,1.5
