Year,avg_global_temp,total_co2_emissions,sea_level_rise,average_extreme_events
2000,11.0,9.9,4.9,3.0
2001,26.65,7.8,3.9,8.0
2002,24.6,6.7125,3.0125,5.375
2003,16.233333333333334,10.466666666666667,4.1000000000000005,10.0
2004,32.0,2.8499999999999996,2.8,6.5
2005,15.55,1.6,2.8,13.0
2006,24.333333333333332,6.466666666666666,2.5,7.0
2007,24.2,9.98,3.8,9.0
2008,21.900000000000002,10.883333333333333,3.0,8.166666666666666
2009,26.05,12.8,2.8499999999999996,13.0
2010,19.85,11.15,4.15,2.0
2011,14.725,5.175000000000001,3.525,8.25
2012,17.4,8.1,4.3,2.0
2013,14.75,10.575,3.15,8.5
2014,9.4,9.7,4.5,5.0
2015,21.849999999999998,12.733333333333334,2.6833333333333336,5.0
2016,22.066666666666666,7.099999999999999,2.566666666666667,10.666666666666666
2017,22.15,7.25,2.45,8.0
2018,19.9,3.3,2.55,9.0
2019,12.35,12.95,4.4,5.5
2020,22.114285714285717,6.7,3.5285714285714285,6.0
2021,25.5,18.5,4.9,12.0
2022,12.700000000000001,16.466666666666665,2.8666666666666667,9.0
2023,30.9,11.4,3.3,13.0
