Year,Avg_Temperature,Total_CO2_Emissions
2000,15.440000000000001,65.2
2001,24.5,19.4
2002,12.066666666666668,5.9
2003,15.949999999999998,48.8
2004,22.0,39.9
2005,27.1,12.0
2006,24.54,67.0
2007,20.166666666666668,26.0
2008,19.5,17.7
2009,10.625,42.0
2011,30.8,25.6
2012,19.099999999999998,39.1
2013,20.3,14.8
2014,5.5,10.7
2015,19.942857142857143,61.5
2016,26.133333333333336,27.6
2018,18.9,14.1
2019,30.8,25.2
2020,14.25,42.4
2021,26.45,32.1
2022,17.285714285714285,78.7
2023,16.257142857142856,78.7
